===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]
类 org.apache.commons.math4.core.jdkmath.AccurateMathCalc   [5字段, 16方法, 注释率31%]
类 org.apache.commons.math4.core.jdkmath.AccurateMathLiteralArrays   [5字段, 5方法, 注释率17%]
类 org.apache.commons.math4.core.jdkmath.JdkMath   [79字段, 76方法, 注释率50%]
类 org.apache.commons.math4.core.jdkmath.JdkMathTest   [1字段, 2方法, 注释率24%]
类 org.apache.commons.math4.examples.kmeans.image.ImageData   [2字段, 3方法, 注释率33%]
类 org.apache.commons.math4.examples.kmeans.image.StandAlone   [4字段, 3方法, 注释率23%]
类 org.apache.commons.math4.examples.sofm.chineserings.ChineseRings   [1字段, 2方法, 注释率26%]
类 org.apache.commons.math4.examples.sofm.chineserings.ChineseRingsClassifier   [3字段, 5方法, 注释率31%]
类 org.apache.commons.math4.examples.sofm.chineserings.StandAlone   [4字段, 4方法, 注释率25%]
类 org.apache.commons.math3.examples.neuralnet.sofm.tsp.StandAlone   [0字段, 1方法, 注释率59%]
类 org.apache.commons.math4.examples.sofm.tsp.City   [3字段, 10方法, 注释率32%]
类 org.apache.commons.math4.examples.sofm.tsp.StandAlone   [5字段, 4方法, 注释率21%]
类 org.apache.commons.math4.examples.sofm.tsp.TravellingSalesmanSolver   [4字段, 7方法, 注释率29%]
类 org.apache.commons.math4.examples.sofm.tsp.HarmonicOscillator   [4字段, 1方法, 注释率32%]
接口 org.apache.commons.math4.legacy.analysis.BivariateFunction   [0字段, 2方法, 注释率47%]
类 org.apache.commons.math4.legacy.analysis.differentiation.DerivativeStructure   [2字段, 73方法, 注释率37%]
类 org.apache.commons.math4.legacy.analysis.differentiation.DSCompiler   [8字段, 47方法, 注释率38%]
类 org.apache.commons.math4.legacy.analysis.differentiation.FiniteDifferencesDifferentiator   [5字段, 6方法, 注释率35%]
类 org.apache.commons.math4.legacy.analysis.differentiation.GradientFunction   [1字段, 1方法, 注释率22%]
类 org.apache.commons.math4.legacy.analysis.differentiation.JacobianFunction   [1字段, 1方法, 注释率21%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.MultivariateDifferentiableFunction   [0字段, 1方法, 注释率75%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.MultivariateDifferentiableVectorFunction   [0字段, 1方法, 注释率57%]
类 org.apache.commons.math4.legacy.analysis.differentiation.SparseGradient   [2字段, 73方法, 注释率24%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateDifferentiableFunction   [0字段, 1方法, 注释率67%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateDifferentiableMatrixFunction   [0字段, 1方法, 注释率62%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateDifferentiableVectorFunction   [0字段, 1方法, 注释率62%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateFunctionDifferentiator   [0字段, 1方法, 注释率56%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateMatrixFunctionDifferentiator   [0字段, 1方法, 注释率56%]
接口 org.apache.commons.math4.legacy.analysis.differentiation.UnivariateVectorFunctionDifferentiator   [0字段, 1方法, 注释率56%]
类 org.apache.commons.math4.legacy.analysis.function.Abs   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Acos   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Acosh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Add   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Asin   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Asinh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Atan   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Atan2   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Atanh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Cbrt   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Ceil   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Constant   [1字段, 2方法, 注释率32%]
类 org.apache.commons.math4.legacy.analysis.function.Cos   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Cosh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Divide   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Exp   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Expm1   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Floor   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Gaussian   [4字段, 3方法, 注释率40%]
类 org.apache.commons.math4.legacy.analysis.function.HarmonicOscillator   [3字段, 3方法, 注释率43%]
类 org.apache.commons.math4.legacy.analysis.function.Identity   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Inverse   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Log   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Log10   [0字段, 2方法, 注释率25%]
类 org.apache.commons.math4.legacy.analysis.function.Log1p   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Logistic   [6字段, 3方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.function.Logit   [2字段, 3方法, 注释率42%]
类 org.apache.commons.math4.legacy.analysis.function.Max   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Min   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Minus   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Multiply   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Pow   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Power   [1字段, 2方法, 注释率32%]
类 org.apache.commons.math4.legacy.analysis.function.Rint   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Sigmoid   [2字段, 3方法, 注释率43%]
类 org.apache.commons.math4.legacy.analysis.function.Signum   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Sin   [0字段, 2方法, 注释率27%]
